id,grid_solution,steps
lgp-test-5x4-0,"{""header"": [""House"", ""Each person has a unique name"", ""The people are of nationalities"", ""People have unique favorite sports"", ""People have unique hair colors""], ""rows"": [[""1"", ""alice"", ""swede"", ""basketball"", ""gray""], [""2"", ""eric"", ""dane"", ""swimming"", ""red""], [""3"", ""bob"", ""german"", ""tennis"", ""brown""], [""4"", ""peter"", ""norwegian"", ""soccer"", ""black""], [""5"", ""arnold"", ""brit"", ""baseball"", ""blonde""]]}",534
lgp-test-5x5-24,"{""header"": [""House"", ""Each person has a unique name"", ""Everyone has a unique favorite cigar"", ""People have unique favorite music genres"", ""Each person has a unique birthday month"", ""People have unique favorite book genres""], ""rows"": [[""1"", ""arnold"", ""prince"", ""hip hop"", ""sept"", ""biography""], [""2"", ""peter"", ""dunhill"", ""jazz"", ""feb"", ""fantasy""], [""3"", ""bob"", ""pall mall"", ""classical"", ""jan"", ""mystery""], [""4"", ""eric"", ""blends"", ""pop"", ""mar"", ""romance""], [""5"", ""alice"", ""blue master"", ""rock"", ""april"", ""science fiction""]]}",959
lgp-test-6x5-1,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique favorite drink"", ""They all have a unique favorite flower"", ""Each person has an occupation"", ""Each person has a unique hobby""], ""rows"": [[""1"", ""peter"", ""tea"", ""daffodils"", ""engineer"", ""painting""], [""2"", ""bob"", ""boba tea"", ""iris"", ""lawyer"", ""knitting""], [""3"", ""arnold"", ""coffee"", ""tulips"", ""nurse"", ""cooking""], [""4"", ""carol"", ""root beer"", ""carnations"", ""doctor"", ""gardening""], [""5"", ""eric"", ""water"", ""roses"", ""teacher"", ""photography""], [""6"", ""alice"", ""milk"", ""lilies"", ""artist"", ""woodworking""]]}",6114
lgp-test-4x3-21,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique heights"", ""Each person has a unique hobby""], ""rows"": [[""1"", ""arnold"", ""very short"", ""painting""], [""2"", ""peter"", ""tall"", ""photography""], [""3"", ""alice"", ""short"", ""gardening""], [""4"", ""eric"", ""average"", ""cooking""]]}",41
lgp-test-4x5-2,"{""header"": [""House"", ""Each person has a unique name"", ""The people keep unique animals"", ""People use unique phone models"", ""Each person has a favorite color"", ""Each person lives in a unique style of house""], ""rows"": [[""1"", ""peter"", ""bird"", ""samsung galaxy s21"", ""white"", ""craftsman""], [""2"", ""eric"", ""cat"", ""oneplus 9"", ""yellow"", ""colonial""], [""3"", ""arnold"", ""fish"", ""iphone 13"", ""red"", ""victorian""], [""4"", ""alice"", ""horse"", ""google pixel 6"", ""green"", ""ranch""]]}",39
lgp-test-5x2-31,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite book genres""], ""rows"": [[""1"", ""bob"", ""fantasy""], [""2"", ""peter"", ""mystery""], [""3"", ""alice"", ""science fiction""], [""4"", ""arnold"", ""biography""], [""5"", ""eric"", ""romance""]]}",21
lgp-test-4x4-10,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite music genres"", ""The mothers' names in different houses are unique"", ""Each person has a unique level of education""], ""rows"": [[""1"", ""eric"", ""rock"", ""janelle"", ""associate""], [""2"", ""peter"", ""classical"", ""holly"", ""high school""], [""3"", ""arnold"", ""pop"", ""kailyn"", ""master""], [""4"", ""alice"", ""jazz"", ""aniya"", ""bachelor""]]}",45
lgp-test-2x6-35,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique birthday month"", ""People have unique hair colors"", ""They all have a unique favorite flower"", ""Each person has a unique level of education"", ""People own unique car models""], ""rows"": [[""1"", ""arnold"", ""april"", ""black"", ""carnations"", ""associate"", ""ford f150""], [""2"", ""eric"", ""sept"", ""brown"", ""daffodils"", ""high school"", ""tesla model 3""]]}",13
lgp-test-3x3-16,"{""header"": [""House"", ""Each person has a unique name"", ""People own unique car models"", ""People use unique phone models""], ""rows"": [[""1"", ""arnold"", ""tesla model 3"", ""iphone 13""], [""2"", ""eric"", ""ford f150"", ""samsung galaxy s21""], [""3"", ""peter"", ""toyota camry"", ""google pixel 6""]]}",10
lgp-test-5x4-13,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite book genres"", ""Each person prefers a unique type of vacation"", ""The mothers' names in different houses are unique""], ""rows"": [[""1"", ""arnold"", ""romance"", ""mountain"", ""aniya""], [""2"", ""bob"", ""fantasy"", ""beach"", ""holly""], [""3"", ""peter"", ""mystery"", ""city"", ""kailyn""], [""4"", ""alice"", ""science fiction"", ""cruise"", ""janelle""], [""5"", ""eric"", ""biography"", ""camping"", ""penny""]]}",138
lgp-test-5x5-20,"{""header"": [""House"", ""Each person has a unique name"", ""They all have a unique favorite flower"", ""Each mother is accompanied by their child"", ""Each person has a unique level of education"", ""The people keep unique animals""], ""rows"": [[""1"", ""alice"", ""roses"", ""meredith"", ""doctorate"", ""bird""], [""2"", ""arnold"", ""daffodils"", ""timothy"", ""high school"", ""dog""], [""3"", ""peter"", ""carnations"", ""fred"", ""associate"", ""cat""], [""4"", ""eric"", ""tulips"", ""bella"", ""master"", ""fish""], [""5"", ""bob"", ""lilies"", ""samantha"", ""bachelor"", ""horse""]]}",646
lgp-test-4x6-17,"{""header"": [""House"", ""Each person has a unique name"", ""Each person lives in a unique style of house"", ""Each person has an occupation"", ""Everyone has a unique favorite cigar"", ""People have unique favorite music genres"", ""People have unique heights""], ""rows"": [[""1"", ""eric"", ""ranch"", ""doctor"", ""blue master"", ""rock"", ""average""], [""2"", ""arnold"", ""colonial"", ""artist"", ""prince"", ""classical"", ""tall""], [""3"", ""alice"", ""victorian"", ""teacher"", ""dunhill"", ""pop"", ""short""], [""4"", ""peter"", ""craftsman"", ""engineer"", ""pall mall"", ""jazz"", ""very short""]]}",706
lgp-test-2x5-37,"{""header"": [""House"", ""Each person has a unique name"", ""People own unique car models"", ""Everyone has something unique for lunch"", ""People have unique favorite sports"", ""Each person has a unique favorite drink""], ""rows"": [[""1"", ""eric"", ""tesla model 3"", ""pizza"", ""basketball"", ""tea""], [""2"", ""arnold"", ""ford f150"", ""grilled cheese"", ""soccer"", ""water""]]}",11
lgp-test-5x2-12,"{""header"": [""House"", ""Each person has a unique name"", ""Everyone has a favorite smoothie""], ""rows"": [[""1"", ""alice"", ""cherry""], [""2"", ""bob"", ""dragonfruit""], [""3"", ""arnold"", ""lime""], [""4"", ""eric"", ""watermelon""], [""5"", ""peter"", ""desert""]]}",84
lgp-test-3x6-32,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite music genres"", ""Each person has a unique birthday month"", ""Everyone has a favorite smoothie"", ""The people are of nationalities"", ""Each person has a favorite color""], ""rows"": [[""1"", ""eric"", ""rock"", ""jan"", ""cherry"", ""brit"", ""white""], [""2"", ""peter"", ""classical"", ""sept"", ""desert"", ""dane"", ""red""], [""3"", ""arnold"", ""pop"", ""april"", ""watermelon"", ""swede"", ""yellow""]]}",24
lgp-test-6x6-9,,4479
lgp-test-5x4-8,"{""header"": [""House"", ""Each person has a unique name"", ""Everyone has a favorite smoothie"", ""Everyone has something unique for lunch"", ""People have unique hair colors""], ""rows"": [[""1"", ""peter"", ""lime"", ""stew"", ""gray""], [""2"", ""bob"", ""watermelon"", ""pizza"", ""brown""], [""3"", ""eric"", ""desert"", ""grilled cheese"", ""blonde""], [""4"", ""alice"", ""cherry"", ""spaghetti"", ""red""], [""5"", ""arnold"", ""dragonfruit"", ""stir fry"", ""black""]]}",31
lgp-test-3x6-1,"{""header"": [""House"", ""Each person has a unique name"", ""People use unique phone models"", ""The people keep unique animals"", ""Each person has an occupation"", ""Each person has a unique birthday month"", ""Everyone has something unique for lunch""], ""rows"": [[""1"", ""arnold"", ""samsung galaxy s21"", ""cat"", ""doctor"", ""sept"", ""grilled cheese""], [""2"", ""eric"", ""google pixel 6"", ""horse"", ""engineer"", ""jan"", ""spaghetti""], [""3"", ""peter"", ""iphone 13"", ""bird"", ""teacher"", ""april"", ""pizza""]]}",25
lgp-test-6x2-16,,57
lgp-test-4x2-1,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique hobby""], ""rows"": [[""1"", ""arnold"", ""gardening""], [""2"", ""peter"", ""cooking""], [""3"", ""alice"", ""photography""], [""4"", ""eric"", ""painting""]]}",9
lgp-test-2x4-12,"{""header"": [""House"", ""Each person has a unique name"", ""The people keep unique animals"", ""Everyone has something unique for lunch"", ""They all have a unique favorite flower""], ""rows"": [[""1"", ""eric"", ""cat"", ""pizza"", ""carnations""], [""2"", ""arnold"", ""horse"", ""grilled cheese"", ""daffodils""]]}",14
lgp-test-6x4-37,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite book genres"", ""People have unique favorite sports"", ""People own unique car models""], ""rows"": [[""1"", ""carol"", ""fantasy"", ""tennis"", ""ford f150""], [""2"", ""eric"", ""mystery"", ""baseball"", ""chevrolet silverado""], [""3"", ""peter"", ""romance"", ""basketball"", ""bmw 3 series""], [""4"", ""alice"", ""historical fiction"", ""soccer"", ""honda civic""], [""5"", ""bob"", ""science fiction"", ""volleyball"", ""tesla model 3""], [""6"", ""arnold"", ""biography"", ""swimming"", ""toyota camry""]]}",40572
lgp-test-4x4-9,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite sports"", ""Each person lives in a unique style of house"", ""People have unique favorite book genres""], ""rows"": [[""1"", ""alice"", ""tennis"", ""colonial"", ""fantasy""], [""2"", ""eric"", ""basketball"", ""craftsman"", ""romance""], [""3"", ""arnold"", ""swimming"", ""ranch"", ""science fiction""], [""4"", ""peter"", ""soccer"", ""victorian"", ""mystery""]]}",18
lgp-test-4x3-11,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique favorite drink"", ""Each mother is accompanied by their child""], ""rows"": [[""1"", ""alice"", ""coffee"", ""meredith""], [""2"", ""arnold"", ""water"", ""samantha""], [""3"", ""peter"", ""tea"", ""fred""], [""4"", ""eric"", ""milk"", ""bella""]]}",13
lgp-test-3x3-11,"{""header"": [""House"", ""Each person has a unique name"", ""Everyone has something unique for lunch"", ""People have unique hair colors""], ""rows"": [[""1"", ""peter"", ""grilled cheese"", ""black""], [""2"", ""eric"", ""pizza"", ""blonde""], [""3"", ""arnold"", ""spaghetti"", ""brown""]]}",13
lgp-test-5x3-13,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique level of education"", ""Each person lives in a unique style of house""], ""rows"": [[""1"", ""peter"", ""doctorate"", ""colonial""], [""2"", ""alice"", ""associate"", ""modern""], [""3"", ""arnold"", ""master"", ""ranch""], [""4"", ""eric"", ""bachelor"", ""victorian""], [""5"", ""bob"", ""high school"", ""craftsman""]]}",262
lgp-test-5x6-9,,1255
lgp-test-5x3-30,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite book genres"", ""Everyone has a favorite smoothie""], ""rows"": [[""1"", ""peter"", ""fantasy"", ""watermelon""], [""2"", ""alice"", ""biography"", ""cherry""], [""3"", ""eric"", ""romance"", ""desert""], [""4"", ""arnold"", ""mystery"", ""lime""], [""5"", ""bob"", ""science fiction"", ""dragonfruit""]]}",210
lgp-test-2x5-9,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite book genres"", ""Each person prefers a unique type of vacation"", ""The people keep unique animals"", ""People have unique favorite music genres""], ""rows"": [[""1"", ""arnold"", ""mystery"", ""mountain"", ""cat"", ""rock""], [""2"", ""eric"", ""science fiction"", ""beach"", ""horse"", ""pop""]]}",11
lgp-test-5x2-37,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique hobby""], ""rows"": [[""1"", ""alice"", ""gardening""], [""2"", ""peter"", ""cooking""], [""3"", ""arnold"", ""knitting""], [""4"", ""bob"", ""photography""], [""5"", ""eric"", ""painting""]]}",55
lgp-test-6x6-31,"{""header"": [""House"", ""Each person has a unique name"", ""People use unique phone models"", ""People have unique favorite book genres"", ""They all have a unique favorite flower"", ""The people keep unique animals"", ""Each person has a unique level of education""], ""rows"": [[""1"", ""arnold"", ""google pixel 6"", ""romance"", ""carnations"", ""bird"", ""master""], [""2"", ""peter"", ""xiaomi mi 11"", ""fantasy"", ""roses"", ""cat"", ""trade school""], [""3"", ""bob"", ""samsung galaxy s21"", ""science fiction"", ""iris"", ""fish"", ""high school""], [""4"", ""carol"", ""huawei p50"", ""biography"", ""tulips"", ""rabbit"", ""bachelor""], [""5"", ""eric"", ""oneplus 9"", ""mystery"", ""lilies"", ""dog"", ""doctorate""], [""6"", ""alice"", ""iphone 13"", ""historical fiction"", ""daffodils"", ""horse"", ""associate""]]}",2316
lgp-test-3x5-22,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a favorite color"", ""Each person prefers a unique type of vacation"", ""Each person has a unique birthday month"", ""Each mother is accompanied by their child""], ""rows"": [[""1"", ""eric"", ""red"", ""city"", ""sept"", ""fred""], [""2"", ""peter"", ""yellow"", ""mountain"", ""jan"", ""bella""], [""3"", ""arnold"", ""white"", ""beach"", ""april"", ""meredith""]]}",24
lgp-test-3x4-28,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique favorite drink"", ""The people are of nationalities"", ""People have unique favorite book genres""], ""rows"": [[""1"", ""arnold"", ""water"", ""dane"", ""romance""], [""2"", ""eric"", ""milk"", ""swede"", ""mystery""], [""3"", ""peter"", ""tea"", ""brit"", ""science fiction""]]}",17
lgp-test-2x5-16,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique level of education"", ""Everyone has something unique for lunch"", ""They all have a unique favorite flower"", ""People have unique favorite music genres""], ""rows"": [[""1"", ""arnold"", ""associate"", ""grilled cheese"", ""carnations"", ""rock""], [""2"", ""eric"", ""high school"", ""pizza"", ""daffodils"", ""pop""]]}",13
lgp-test-2x4-8,"{""header"": [""House"", ""Each person has a unique name"", ""Everyone has a favorite smoothie"", ""The mothers' names in different houses are unique"", ""Each mother is accompanied by their child""], ""rows"": [[""1"", ""arnold"", ""desert"", ""holly"", ""bella""], [""2"", ""eric"", ""cherry"", ""aniya"", ""fred""]]}",9
lgp-test-3x5-7,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite sports"", ""The people keep unique animals"", ""Each person has a unique favorite drink"", ""The people are of nationalities""], ""rows"": [[""1"", ""arnold"", ""tennis"", ""horse"", ""tea"", ""swede""], [""2"", ""peter"", ""basketball"", ""cat"", ""water"", ""brit""], [""3"", ""eric"", ""soccer"", ""bird"", ""milk"", ""dane""]]}",69
lgp-test-4x3-35,"{""header"": [""House"", ""Each person has a unique name"", ""People use unique phone models"", ""They all have a unique favorite flower""], ""rows"": [[""1"", ""alice"", ""oneplus 9"", ""roses""], [""2"", ""peter"", ""google pixel 6"", ""carnations""], [""3"", ""eric"", ""samsung galaxy s21"", ""daffodils""], [""4"", ""arnold"", ""iphone 13"", ""lilies""]]}",33
lgp-test-6x6-21,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique heights"", ""Each person prefers a unique type of vacation"", ""People have unique hair colors"", ""Each person has a unique favorite drink"", ""They all have a unique favorite flower""], ""rows"": [[""1"", ""alice"", ""very short"", ""beach"", ""gray"", ""root beer"", ""daffodils""], [""2"", ""carol"", ""super tall"", ""city"", ""brown"", ""water"", ""roses""], [""3"", ""arnold"", ""average"", ""cultural"", ""blonde"", ""milk"", ""lilies""], [""4"", ""bob"", ""short"", ""cruise"", ""auburn"", ""tea"", ""tulips""], [""5"", ""peter"", ""very tall"", ""mountain"", ""black"", ""coffee"", ""iris""], [""6"", ""eric"", ""tall"", ""camping"", ""red"", ""boba tea"", ""carnations""]]}",9830
lgp-test-6x3-10,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique type of pet"", ""Each person has a favorite color""], ""rows"": [[""1"", ""peter"", ""hamster"", ""yellow""], [""2"", ""bob"", ""rabbit"", ""red""], [""3"", ""arnold"", ""fish"", ""white""], [""4"", ""alice"", ""bird"", ""purple""], [""5"", ""carol"", ""dog"", ""green""], [""6"", ""eric"", ""cat"", ""blue""]]}",359
lgp-test-6x4-12,"{""header"": [""House"", ""Each person has a unique name"", ""The people are of nationalities"", ""Each person has a unique type of pet"", ""Each person has a favorite color""], ""rows"": [[""1"", ""carol"", ""brit"", ""cat"", ""red""], [""2"", ""peter"", ""chinese"", ""bird"", ""green""], [""3"", ""eric"", ""swede"", ""rabbit"", ""purple""], [""4"", ""bob"", ""norwegian"", ""hamster"", ""blue""], [""5"", ""alice"", ""dane"", ""fish"", ""yellow""], [""6"", ""arnold"", ""german"", ""dog"", ""white""]]}",5219
lgp-test-3x6-15,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique level of education"", ""Each person prefers a unique type of vacation"", ""People have unique favorite music genres"", ""Each person has an occupation"", ""People have unique favorite sports""], ""rows"": [[""1"", ""peter"", ""bachelor"", ""city"", ""rock"", ""doctor"", ""tennis""], [""2"", ""arnold"", ""high school"", ""mountain"", ""pop"", ""teacher"", ""basketball""], [""3"", ""eric"", ""associate"", ""beach"", ""classical"", ""engineer"", ""soccer""]]}",25
lgp-test-2x6-18,"{""header"": [""House"", ""Each person has a unique name"", ""The people are of nationalities"", ""Each person has a unique level of education"", ""Each person has a unique birthday month"", ""Each person has an occupation"", ""People use unique phone models""], ""rows"": [[""1"", ""arnold"", ""brit"", ""associate"", ""sept"", ""engineer"", ""samsung galaxy s21""], [""2"", ""eric"", ""dane"", ""high school"", ""april"", ""doctor"", ""iphone 13""]]}",13
lgp-test-2x2-26,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique hair colors""], ""rows"": [[""1"", ""arnold"", ""black""], [""2"", ""eric"", ""brown""]]}",6
lgp-test-3x5-29,"{""header"": [""House"", ""Each person has a unique name"", ""They all have a unique favorite flower"", ""People use unique phone models"", ""Each person has an occupation"", ""Everyone has a unique favorite cigar""], ""rows"": [[""1"", ""eric"", ""carnations"", ""google pixel 6"", ""teacher"", ""blue master""], [""2"", ""arnold"", ""lilies"", ""samsung galaxy s21"", ""doctor"", ""prince""], [""3"", ""peter"", ""daffodils"", ""iphone 13"", ""engineer"", ""pall mall""]]}",19
lgp-test-4x4-19,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a favorite color"", ""Everyone has a unique favorite cigar"", ""Each person has a unique level of education""], ""rows"": [[""1"", ""alice"", ""green"", ""dunhill"", ""associate""], [""2"", ""eric"", ""red"", ""prince"", ""high school""], [""3"", ""peter"", ""yellow"", ""blue master"", ""bachelor""], [""4"", ""arnold"", ""white"", ""pall mall"", ""master""]]}",17
lgp-test-4x3-34,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite sports"", ""Each person prefers a unique type of vacation""], ""rows"": [[""1"", ""arnold"", ""swimming"", ""cruise""], [""2"", ""alice"", ""tennis"", ""mountain""], [""3"", ""peter"", ""basketball"", ""city""], [""4"", ""eric"", ""soccer"", ""beach""]]}",18
lgp-test-5x2-17,"{""header"": [""House"", ""Each person has a unique name"", ""Each person lives in a unique style of house""], ""rows"": [[""1"", ""arnold"", ""craftsman""], [""2"", ""eric"", ""modern""], [""3"", ""peter"", ""ranch""], [""4"", ""alice"", ""victorian""], [""5"", ""bob"", ""colonial""]]}",33
lgp-test-5x4-17,"{""header"": [""House"", ""Each person has a unique name"", ""People own unique car models"", ""The people are of nationalities"", ""They all have a unique favorite flower""], ""rows"": [[""1"", ""arnold"", ""honda civic"", ""swede"", ""lilies""], [""2"", ""bob"", ""tesla model 3"", ""norwegian"", ""carnations""], [""3"", ""alice"", ""toyota camry"", ""german"", ""daffodils""], [""4"", ""peter"", ""bmw 3 series"", ""dane"", ""roses""], [""5"", ""eric"", ""ford f150"", ""brit"", ""tulips""]]}",753
lgp-test-2x3-10,"{""header"": [""House"", ""Each person has a unique name"", ""People use unique phone models"", ""Each person has a unique favorite drink""], ""rows"": [[""1"", ""arnold"", ""samsung galaxy s21"", ""water""], [""2"", ""eric"", ""iphone 13"", ""tea""]]}",7
lgp-test-3x2-11,"{""header"": [""House"", ""Each person has a unique name"", ""People use unique phone models""], ""rows"": [[""1"", ""peter"", ""samsung galaxy s21""], [""2"", ""eric"", ""google pixel 6""], [""3"", ""arnold"", ""iphone 13""]]}",7
lgp-test-3x6-21,"{""header"": [""House"", ""Each person has a unique name"", ""Each mother is accompanied by their child"", ""The people keep unique animals"", ""People own unique car models"", ""People have unique favorite book genres"", ""Everyone has a favorite smoothie""], ""rows"": [[""1"", ""arnold"", ""meredith"", ""horse"", ""toyota camry"", ""mystery"", ""desert""], [""2"", ""peter"", ""bella"", ""cat"", ""ford f150"", ""science fiction"", ""cherry""], [""3"", ""eric"", ""fred"", ""bird"", ""tesla model 3"", ""romance"", ""watermelon""]]}",19
lgp-test-6x4-3,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique favorite drink"", ""Each person lives in a unique style of house"", ""Everyone has a unique favorite cigar""], ""rows"": [[""1"", ""carol"", ""boba tea"", ""ranch"", ""pall mall""], [""2"", ""alice"", ""milk"", ""modern"", ""blue master""], [""3"", ""arnold"", ""tea"", ""colonial"", ""blends""], [""4"", ""bob"", ""coffee"", ""craftsman"", ""prince""], [""5"", ""peter"", ""water"", ""mediterranean"", ""yellow monster""], [""6"", ""eric"", ""root beer"", ""victorian"", ""dunhill""]]}",2529
lgp-test-2x6-13,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique level of education"", ""Each person has a unique hobby"", ""Each mother is accompanied by their child"", ""People have unique favorite music genres"", ""Each person has a unique type of pet""], ""rows"": [[""1"", ""arnold"", ""associate"", ""gardening"", ""bella"", ""pop"", ""cat""], [""2"", ""eric"", ""high school"", ""photography"", ""fred"", ""rock"", ""dog""]]}",16
lgp-test-2x5-27,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a favorite color"", ""People have unique hair colors"", ""Each person has a unique level of education"", ""Everyone has a unique favorite cigar""], ""rows"": [[""1"", ""eric"", ""yellow"", ""black"", ""associate"", ""prince""], [""2"", ""arnold"", ""red"", ""brown"", ""high school"", ""pall mall""]]}",11
lgp-test-4x2-19,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite music genres""], ""rows"": [[""1"", ""arnold"", ""jazz""], [""2"", ""alice"", ""classical""], [""3"", ""peter"", ""rock""], [""4"", ""eric"", ""pop""]]}",17
lgp-test-6x6-1,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique hair colors"", ""People have unique favorite book genres"", ""People have unique heights"", ""Each person has a unique level of education"", ""Each person has a unique favorite drink""], ""rows"": [[""1"", ""peter"", ""gray"", ""biography"", ""short"", ""doctorate"", ""coffee""], [""2"", ""bob"", ""brown"", ""romance"", ""super tall"", ""high school"", ""tea""], [""3"", ""eric"", ""red"", ""science fiction"", ""very tall"", ""trade school"", ""boba tea""], [""4"", ""carol"", ""auburn"", ""historical fiction"", ""average"", ""master"", ""water""], [""5"", ""alice"", ""blonde"", ""mystery"", ""very short"", ""bachelor"", ""root beer""], [""6"", ""arnold"", ""black"", ""fantasy"", ""tall"", ""associate"", ""milk""]]}",299780
lgp-test-2x5-28,"{""header"": [""House"", ""Each person has a unique name"", ""People own unique car models"", ""The people keep unique animals"", ""People have unique favorite sports"", ""Everyone has something unique for lunch""], ""rows"": [[""1"", ""arnold"", ""tesla model 3"", ""cat"", ""basketball"", ""pizza""], [""2"", ""eric"", ""ford f150"", ""horse"", ""soccer"", ""grilled cheese""]]}",11
lgp-test-6x6-15,"{""header"": [""House"", ""Each person has a unique name"", ""Each person lives in a unique style of house"", ""Each person has a unique favorite drink"", ""Each person has an occupation"", ""The people keep unique animals"", ""Each person has a favorite color""], ""rows"": [[""1"", ""arnold"", ""craftsman"", ""milk"", ""artist"", ""fish"", ""red""], [""2"", ""carol"", ""ranch"", ""water"", ""nurse"", ""bird"", ""purple""], [""3"", ""eric"", ""modern"", ""root beer"", ""teacher"", ""cat"", ""blue""], [""4"", ""bob"", ""victorian"", ""tea"", ""lawyer"", ""dog"", ""green""], [""5"", ""alice"", ""colonial"", ""coffee"", ""engineer"", ""horse"", ""white""], [""6"", ""peter"", ""mediterranean"", ""boba tea"", ""doctor"", ""rabbit"", ""yellow""]]}",8622
lgp-test-2x3-39,"{""header"": [""House"", ""Each person has a unique name"", ""Everyone has something unique for lunch"", ""Each person has a unique birthday month""], ""rows"": [[""1"", ""arnold"", ""grilled cheese"", ""april""], [""2"", ""eric"", ""pizza"", ""sept""]]}",7
lgp-test-5x6-15,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique favorite drink"", ""Each person has a unique type of pet"", ""Each mother is accompanied by their child"", ""The mothers' names in different houses are unique"", ""People have unique favorite sports""], ""rows"": [[""1"", ""eric"", ""tea"", ""fish"", ""timothy"", ""holly"", ""tennis""], [""2"", ""alice"", ""root beer"", ""bird"", ""fred"", ""penny"", ""swimming""], [""3"", ""bob"", ""coffee"", ""cat"", ""bella"", ""janelle"", ""basketball""], [""4"", ""arnold"", ""milk"", ""dog"", ""samantha"", ""aniya"", ""soccer""], [""5"", ""peter"", ""water"", ""hamster"", ""meredith"", ""kailyn"", ""baseball""]]}",1906
lgp-test-3x4-22,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite music genres"", ""Each mother is accompanied by their child"", ""People have unique favorite book genres""], ""rows"": [[""1"", ""peter"", ""pop"", ""fred"", ""romance""], [""2"", ""eric"", ""classical"", ""bella"", ""mystery""], [""3"", ""arnold"", ""rock"", ""meredith"", ""science fiction""]]}",14
lgp-test-6x6-35,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique heights"", ""Each person has a unique favorite drink"", ""Each person has a favorite color"", ""Each person lives in a unique style of house"", ""They all have a unique favorite flower""], ""rows"": [[""1"", ""alice"", ""very tall"", ""root beer"", ""yellow"", ""victorian"", ""lilies""], [""2"", ""peter"", ""tall"", ""water"", ""green"", ""craftsman"", ""daffodils""], [""3"", ""carol"", ""short"", ""boba tea"", ""white"", ""mediterranean"", ""tulips""], [""4"", ""bob"", ""average"", ""coffee"", ""purple"", ""ranch"", ""roses""], [""5"", ""arnold"", ""super tall"", ""tea"", ""red"", ""modern"", ""carnations""], [""6"", ""eric"", ""very short"", ""milk"", ""blue"", ""colonial"", ""iris""]]}",265063
lgp-test-4x5-5,,29
lgp-test-5x6-14,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite music genres"", ""Each person has a unique hobby"", ""Each person prefers a unique type of vacation"", ""Each mother is accompanied by their child"", ""They all have a unique favorite flower""], ""rows"": [[""1"", ""alice"", ""rock"", ""cooking"", ""beach"", ""meredith"", ""carnations""], [""2"", ""eric"", ""jazz"", ""gardening"", ""cruise"", ""bella"", ""roses""], [""3"", ""arnold"", ""hip hop"", ""knitting"", ""mountain"", ""timothy"", ""tulips""], [""4"", ""peter"", ""classical"", ""photography"", ""city"", ""samantha"", ""daffodils""], [""5"", ""bob"", ""pop"", ""painting"", ""camping"", ""fred"", ""lilies""]]}",2299
lgp-test-3x2-31,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite music genres""], ""rows"": [[""1"", ""arnold"", ""pop""], [""2"", ""peter"", ""classical""], [""3"", ""eric"", ""rock""]]}",7
lgp-test-5x2-25,"{""header"": [""House"", ""Each person has a unique name"", ""Everyone has a favorite smoothie""], ""rows"": [[""1"", ""peter"", ""dragonfruit""], [""2"", ""arnold"", ""cherry""], [""3"", ""bob"", ""lime""], [""4"", ""eric"", ""watermelon""], [""5"", ""alice"", ""desert""]]}",27
lgp-test-6x2-0,"{""header"": [""House"", ""Each person has a unique name"", ""Each person lives in a unique style of house""], ""rows"": [[""1"", ""bob"", ""victorian""], [""2"", ""eric"", ""modern""], [""3"", ""arnold"", ""colonial""], [""4"", ""alice"", ""mediterranean""], [""5"", ""peter"", ""craftsman""], [""6"", ""carol"", ""ranch""]]}",27
